WORD,MEANING,PART OF SPEECH
tee,᛫ to extract ᛫ to tug ᛫ to convey ᛫ to train another ᛫,V
teel,᛫ mocking speech ᛫ ridiculing speech ᛭ to mock ᛫ to ridicule ᛫,N᛭V
teeler,᛫ a mocker ᛫ a ridiculer ᛫,N
teely,᛫ blasphemous ᛫ calumnious ᛫ reprehensible ᛫,AJ
teem,᛫ to be prolific ᛫ to abound ᛫ to bring forth offspring ᛫,V
teeming,᛫ abundantly filled ( esp with creatures ) ᛫,AJ
teen,᛫ vexation ᛭ to vex ᛫ to irritate ᛫,N᛭V
teenful,᛫ troublesome ᛫ harmful ᛫ painful ᛫ full of suffering ᛫,AJ
teenle,᛫ a wicker basket ᛫,N
teethstraightening,᛫ orthodontics ᛫,N
teigh,᛫ to intend ᛫ to suppose ᛫,V
tell,᛫ to count ( to tally ) ᛫ to recount ᛫ to enumerate ᛫ to pass information ᛫,V
tell off,᛫ to scold ᛫ to chastise ᛫ to reprimand ᛫ to admonish ᛫ to rebuke ᛫,V
tell on,᛫ to tattle ᛫ to snitch ᛫ to inform on ᛫,V
tellall,᛫ a book or account in which everything is revealed ᛫ an exposé ᛫,N
teller,᛫ a counter (such as a bank teller ) ᛫,N
temse,᛫ to sift ᛫ to strain ᛫ to sieve ᛫,V
tend,᛫ to kindle ᛫ to ignite ᛫ to incite ᛫ to arouse ( lust anger etc ) ᛫ to inspire ᛫,V
tenfold,᛫ decuple ᛫,AJ᛭AV
tenpenny,᛫ a dime [ᚹ] ᛭ ten cents ᛫ ten pence ᛫,N᛭AJ
tensome,᛫ a decet ᛫ a decad ᛫,N
termen,᛫ a term ᛫,N
tern,᛫ a Sternidae bird ᛫,N
tetter,᛫ any skin condition characterized by a herpetiform rash and itching ᛫ eczema ᛫ psoriasis ᛫ herpes ᛫impetigo ᛫,N
tetterberry,᛫ a Bryonia plant ( bryony ) ᛫,N
tetterwort,᛫ a Chelidonium majus plant ( greater celandine ) ᛫,N
tevel,᛫ to gamble ᛫,V
tew,᛫ equipment ᛫ gear ᛫ instruments ᛫,N
th,᛫ -ity ( abstract nominal suffix ) ᛫,SUFFIX
thack,᛫ to pat ᛫ to dab ᛫,V
thackboard,᛫ a wooden roofing tile ᛫ a shingle ᛫,N
thacktile,᛫ a roofing tile ᛫,N
thane,᛫ a lesser noble ᛫ a retainer ᛫ a vassal ᛫ a servant ᛭ to serve ᛫ to minister ᛫,N᛭V
thanedom,᛫ a barony ᛫,N
thanen,᛫ a female thane ᛫ a baroness ᛫,N
thaning,᛫ service ᛫ a service ᛫ a ministry ᛫ ministry ᛫ a ministration ᛫,N
thank,᛫ thinking ᛫ thought ᛫ a thought ᛫ an idea ᛫,N
thankful,᛫ grateful ᛫,AJ
thankfulness,᛫ gratitude ᛫,N
thankle,᛫ mindful ᛫ thoughtful ᛫ considerate ᛫,AJ
thanks,᛫ gratitude ᛫ an expression of gratitude ᛫,N
thanksgive,᛫ to give or dedicate in token of thanks ᛫,V
thanksgiving,᛫ an expression of gratitude ᛫,N
thar,᛫ to be necessary ᛫ to be required ᛫ to be obligatory ᛫ to be mandatory ᛫ to need ᛫ to require ᛫,V
tharf,᛫ unleavened ᛫ uncontaminated ᛫,AJ
tharf,᛫ a need ᛫ a requirement ᛫ a necessity ᛫ an obligation ᛭ needy ᛫ indigent ᛫,N᛭AJ
tharm,᛫ an organ ( of a body) ᛫ an intestine ᛫ an entrail ᛫ a gut ,N
thasledge,᛫ to agree ᛫ to accord ᛫ to fit ᛫,V
thasly,᛫ suitable ᛫ appropriate ᛫ seemly ᛫ comely ᛫ elegant ᛫ harmonious ᛭ suitably ᛫ appropriately ᛫ elegantly ᛫harmoniously ᛫,AJ᛭AV
that,᛫ the letter eth ( Ð ð ) ᛫,N
thatch,᛫ a roof of straw or reeds or such ᛫ material for a thatch ᛭ to cover with thatch ᛫,V
thaught,᛫ a counsel ᛭ to take counsel ᛫ to consult ᛫,N
thaughter,᛫ a counsellor ᛫,N
thaughting,᛫ counsel ᛫ consultation ᛫ deliberation ᛫ agreement ᛫ concilium ᛫ consensus ᛫,N
thave,᛫ to consent ᛫ to assent to ᛫ put up with ᛫ to tolerate ᛫ to permit ᛫,V
thaveless,᛫ ineffectual ᛫ feeble ᛫,AJ
thaver,᛫ a favourer ᛫ a supporter ᛫ a consenter ᛫,N
thavesome,᛫ consenting ᛫ tolerating ᛫,AJ
thaving,᛫ consent ᛫ toleration ᛫ permission ᛫,N
the all,᛫ the universe ᛫ the cosmos ᛫ the macrocosm ᛫,N᛭
the anward,᛫ the present [ᚹ] ᛫,N
the bends,᛫ decompression sickness ᛫,N
the Black Sea,᛫ the sea known to the Romans as Pontus ᛫,N
the British Sea,᛫ the English Channel ᛫,N
the clap,᛫ Gonorrhea ᛫,N
the Dernwrits,᛫ the Apocrypha ᛫,N(P)
the Dog Star,᛫ Sirius ᛫,N
the east,᛫ the Orient ᛫,N
the East Sea,᛫ the Baltic ᛫,N(P)
the endtime,᛫ apocalypse ᛫ Armageddon ᛫,N
The Fareld,᛫ The Passover ᛫ Pesach ᛫,N(P)
the Faroe Islands,᛫ the Faroe Islands ᛫,N(P)
the Fish,᛫ Pisces ᛫,N(P)
the Folkwandering Eld,᛫ the Migration Period ᛫,N
the forthwiten,᛫ the past [ᚹ] ᛫,N
the Great Dying,᛫ the Permian–Triassic extinction event ᛫,N(P)
the Great Eastern Sea,᛫ the Pacific Ocean ᛫,N(P)
the Great Indish Sea,᛫ the Indian Ocean ᛫,N(P)
the Great Northern Sea,᛫ the Arctic Ocean ᛫,N(P)
the Great Southern Sea,᛫ the Antarctic Ocean ᛫,N(P)
the Great Western Sea,᛫ the Atlantic Ocean ᛫,N(P)
the Healend,᛫ a title of Jesus ( analyzable as " the healing one " ) ᛫,N(P)
the Holy Ghost,᛫ the Holy Spirit ᛫,N
the Hurling Time,᛫ the Peasants' Revolt ( of 1381 ) ᛫ Wat Tyler's Rebellion ᛫,N(P)
the Island of Man,᛫ the Isle of Man ᛫,N(P)
the itch,᛫ scabies ᛫,N
the Mark,᛫ Mercia ᛫,N(P)
the Morningstar,᛫ planet Venus ᛫,N
the net,᛫ the internet ᛫,N
the Netherlands,᛫ the Netherlands ᛫,N(P)
the Nornish Sea,᛫ the Norwegian Sea ᛫,N(P)
the North Star,᛫ the Pole Star ᛫ Polaris ᛫,N
the Orchard of Liking,᛫ the Garden of Eden ᛫,N(P)
the other way about,᛫ vice versa ᛫,N
the Quidbook,᛫ the Book of Proverbs ( Míshlê Shlomoh ) ᛫,N
the Red Sea,᛫ the sea between Arabia and Africa ᛫,N
the Shapend,᛫ the Creator ᛫,N
the shaper,᛫ the creator of the universe ᛫,N
the Shipstar,᛫ Polaris ᛫,N(P)
the shows,᛫ the circus ᛫ the carnival ᛫ the fair ᛫,N
The Skaw,᛫ Skagen ( city in Denmark ) ᛫ Skagen Odde ( peninsula in Denmark ) ᛫,N(P)
the South Sea,᛫ the English Channel ᛫,N(P)
the sticks,᛫ a rural place ᛫ a countryside ᛫,N
the Stony Barrows,᛫ the Rocky Mountains ᛫,N(P)
the Tems,᛫ the Thames ᛫,N(P)
the Tocome,᛫ The Advent ᛫,N(P)
the toward,᛫ future [ᚹ] ᛫,N
the web,᛫ the internet ᛫ the World Wide Web ᛫,N
the Welsh Sea,᛫ the Celtic Sea ᛫,N(P)
the West,᛫ the Occident ᛫,N
the White Sea,᛫ the sea between the Kola Peninsula and the rest of Russia ᛫,N
the Yellow Sea,᛫ the sea between Korea and China ᛫,N
thearl,᛫ greatly ᛫ vigorously ᛫ harshly ᛫ severely ᛫ sorely ᛫,AV
theavethorn,᛫ any of several types of prickly shrubs ᛫ a thornbush ᛫ a fruit or berry bearing thornbush ᛫ a gooseberryplant ᛫ a blackberry plants ᛫,N
thechen,᛫ a torch ᛫,N
thee,᛫ you ( accusative case ) ᛫,N(PRO)
thee,᛫ to prosper ᛫ to thrive ᛫ to flourish ᛫,V
theed,᛫ a nation ᛫ a tribe ᛫ a clan ᛫,N
theed,᛫ to connect ᛫ to adhere ᛫ to associate ᛫ to join ᛫ to attach ᛫,V
theed,᛫ national- ᛫ public- ᛫,PREFIX
theedbale,᛫ a national disaster ᛫,N
theeden,᛫ a leader of a people ᛫ a chieftain ᛫,N
theedenhold,᛫ faithful to a lord ᛫,AJ
theedfeend,᛫ a public enemy ᛫,N
theedheer,᛫ a national army ᛫,N
theedhood,᛫ nationality ᛫,N
theedish,᛫ national ᛫,AJ
theedland,᛫ territory ᛫ a territory ᛫,N
theedledge,᛫ to nationalize ᛫,V
theedlove,᛫ patriotism ᛫,N
theedly,᛫ gentile ᛫,AJ
theedness,᛫ conjugation ᛫ a conjunction ᛫,N
theedom,᛫ activity ᛫ vigor ᛫ industry ᛫,N
theedship,᛫ a people ᛫ a fellowship ᛫ a nationality ᛫,N
theedwit,᛫ a senator ᛫,N
theefshoal,᛫ a band of thieves ᛫,N
theenest,᛫ service ᛫,N
theet,᛫ a pipe ᛫ a tube ᛫ a channel for liquids ᛫,N
theet,᛫ to howl like a wolf ᛫,V
theft,᛫ thievery ᛫,N
then,᛫ to extend ᛫,V
thence,᛫ from that place ᛫,AV
thenceforth,᛫ from there on out ᛫ from then on ᛫,AV
ther,᛫ -trum ᛫ -tron ᛫ ( shows a noun is a tool or instrument ) ᛫,SUFFIX
thereby,᛫ by this means ᛫ as a result of that ᛫,AV
therewhile,᛫ meanwhile ᛫,AV
therewith,᛫ in addition ᛫,AV
thern,᛫ a young woman ᛫ a girl ᛫ a female servant ᛫ a handmaid ᛫,N
thester,᛫ darkness ᛭ dark ᛫ without light or happiness ᛫,N᛭AJ
thew,᛫ a bondsman ᛫ a servant ᛫ a slave ᛭ to serve ᛫,N᛭V
thew,᛫ conduct ᛫ manners ᛫ a moral character ᛫ a virtue ᛫ a vice ᛫ muscle ᛭ to discipline ᛫,N᛭V
thewborn,᛫ born into servitude ᛫,AJ
thewdom,᛫ servitude ᛫ serfdom ᛫ slavery ᛫ a state of bondage ᛫,N
thewen,᛫ a bondswoman ᛫ a female servant ᛫ a slave woman ᛫,N
thewet,᛫ slavery ᛫ servitude ᛫ bondage ᛫,N
thewfast,᛫ virtuous ᛫ moral ᛫ well mannered ᛫,AJ
thewfastness,᛫ adherence to moral or expected behaviour ᛫ etiquette ᛫,N
thewish,᛫ servile ᛫,AJ
thewy,᛫ muscular ᛫ brawny ᛫,AJ
thick,᛫ dense ᛫ mentally slow ᛫ viscous ᛭ densely ᛫,AJ᛭AV
thicket,᛫ a dense group of bushes or trees ᛫,N
thickfold,᛫ in large numbers ᛫ in quick succession ᛫ rapidly ᛫,AV
thickness,᛫ one of the three dimensions of a solid object ; front to back ᛫ a diameter ᛫ viscosity ᛫,N
thie,᛫ to ingest ᛫ to drink ᛫ to consume ᛫ to beg for food ᛫ to beg ᛫ to plead ᛫ to implore ᛫,V
thiefdom,᛫ kleptocracy ᛫,N
thieve,᛫ to steal ᛫,V
thiften,᛫ a handmaiden ᛫ a female servant ᛫,N
thighbone,᛫ a femur ᛫,N
thild,᛫ patience ᛫,N
thildy,᛫ patient ᛫,AJ
Thile,᛫ mythical land of Thule ᛫,N
thilk,᛫ that same ᛫ the very thing ᛫,N(PRO)
thill,᛫ an orator ᛫ a spokesman ᛫,N
thill,᛫ a plank ᛫ boarding ᛭ to plank ᛫ to lay boards ᛫,N
thillcraft,᛫ elocution ᛫ rhetoric ᛫,N
thilling,᛫ plank flooring ᛫ boarding ᛫ a deck of a ship ᛫,N
thind,᛫ to swell ᛫ to swell with pride ᛫,V
thine,᛫ yours ᛫ your ( when before a vowel sound ) ᛫,N(PRO)
thing,᛫ to plea ᛫ to plead ᛫ to advocate ᛫ to intercede ᛫ to make terms ᛫ settle a legal issue ᛫,V
thinger,᛫ an advocate ᛫ an intercessor ᛫ a pleader ᛫,N
thingle,᛫ a prince ᛫,N
thingstead,᛫ an assembly place ᛫ a forum ᛫,N
think,᛫ to deduce ᛫ to meditate ᛫ to ponder ᛫ to ruminate ᛫,V
think of,᛫ to imagine [ᛏ] ᛫ to conceive of [ᛏ] ᛫ to picture ( in one's mind ) ᛫ to keep in mind [ᛏ] ᛫ to be concernedfor [ᛏ] ᛫,V
think on,᛫ to contemplate [ᛏ] ᛫ to consider ( an option ) [ᛏ] ᛫ to put thought into [ᛏ] ᛫,V
think over,᛫ to consider ( an option ) [ᛏ] ᛫ to put thought into [ᛏ] ᛫,V
think through,᛫ to put a satisfactory amount of thought into [ᛏ] ᛫,V
think up,᛫ to invent ᛫,V
thinker,᛫ an intellectual ᛫,N
thir,᛫ dry ᛫ arid ᛫,AJ
third,᛫ a tierce ᛫ a tirza ᛫ a trichord ᛫,N
third hoad,᛫ third person ,N
thirl,᛫ a hole ᛭ to pierce ᛫ to penetrate ᛫ to drill ᛫ to bore ᛫,N᛭V
thirst,᛫ a strong desire ( esp for drink ) ᛭ to desire ( esp drink ) ᛫,N᛭V
thirsty,᛫ avid ᛫ parched ᛫,AJ
thirth,᛫ power ᛫ vigour ᛫ rigour ᛫,N
thither,᛫ to that place ᛫,AV
thitherto,᛫ up to that time ᛫ until then ᛫,AV
thixel,᛫ a pole ᛫ a beam ᛫,N
thode,᛫ a strong wind ᛫ a violent wind ᛫ a whirlwind ᛫ a gale ᛫,N
thoft,᛫ a rowing bench ᛫,N
thoft,᛫ an ally ᛫ an associate ᛫ a fellow ᛫ a comrade ᛫,N
thoft,᛫ to associate ᛫ to ally with ᛫,V
thoftship,᛫ a fellowship ᛫ an alliance [ᚹ] ᛫,N
thole,᛫ to endure ( to suffer through ) ᛫,V
thole,᛫ a pin ᛫ a peg ᛫ a dowel ᛫,N
tholemood,᛫ patient ᛫,AJ
tholemoodness,᛫ patience ᛫,N
tholesome,᛫ patient ᛫,AJ
thone,᛫ to moisten ᛭ moist ᛫,V᛭AJ
thong,᛫ a strip of leather or fabric ᛫ a g-string ᛫,N
thorn,᛫ an annoyance ᛫ a discomfort ᛫,N
thorn,᛫ the letter thorn ( Þ þ ) ᛫,N
thorny,᛫ annoying ᛫ uncomfortable ᛫ problematic ᛫,AJ
thorny anteater,᛫ an echidna ᛫,N
thorough,᛫ complete ᛫ detailed ᛫ more than adequate ᛫,AJ
thoroughbred,᛫ a purebred horse ᛫ a well-bred person ᛫ an athletic person ᛭ purebred ᛫ well-bred ᛫,N᛭AJ
thoroughfare,᛫ a route ᛫ a main road in a town ᛫,N
thoroughgoing,᛫ complete ᛫ thorough ᛫ with great attention to detail ᛫,AJ
thoroughlight,᛫ a light that passes through ᛫,N
thoroughlights,᛫ windows on opposite sides of a room ᛫,N
thoroughly,᛫ extensively ᛫ completely ᛫,AV
thoroughsped,᛫ fully accomplished ᛫,AJ
thorp,᛫ a village ᛫ a hamlet ᛫,N
thorpsman,᛫ a villager ᛫,N
thost,᛫ dung ᛫ manure ᛫ excrement ᛫ faeces ᛫ poop ᛫ crap ᛫ shit ᛫,N
thother,᛫ a sphere ᛫ a globe [ᚹ] ᛫,N
thou,᛫ you ( nominative ) ᛫,N(PRO)
though,᛫ clay ᛫,N
thought out,᛫ planned ᛫ premeditated ᛫,AJ
thoughtache,᛫ angst ᛫ existential dread ᛫ cognitive dissonance ᛫,N
thoughtfand,᛫ a thought experiment ᛫,N
thoughtful,᛫ considerate ᛫,AJ
thoughtless,᛫ inconsiderate ᛫,AJ
thoughtline,᛫ a train of thought ᛫ a line of intellectual development ᛫,N
thoughtworld,᛫ a worldview ᛫ a weltanschauung ᛫,N
thousand thousand,᛫ a million ᛫,N
thousandlegs,᛫ a millipede ᛫,N
thove,᛫ tufted ᛫ bushy ᛫ tufty ᛫ leafy ᛫,AJ
Thrace,᛫ Thrace ᛫,N(P)
thrake,᛫ power ᛫ force ᛫,N
thrakefield,᛫ a force field ᛫,N
thrall,᛫ slave ᛫,N
thralldom,᛫ subjugation ᛫ slavery ᛫ bondage ᛫,N
thrave,᛫ to urge ᛫ to reprove ᛫ to rebuke ᛫,V
thrax,᛫ caries ( the rot of bone and teeth ) ᛫,N
thray,᛫ to rebuke ᛫ to reproach ᛫ to chastise ᛫,V
threa,᛫ a punishment ᛫ punishment ᛫ an infliction ᛫,N
threadbare,᛫ shabby ᛫ frayed ᛫ unoriginal ᛫ bland ᛫ cliche ᛫ banal ᛫ trite ᛫,AJ
threadbore,᛫ a rifle ᛫ rifling ᛭ rifled ᛫,N᛭AJ
threaden,᛫ textile ᛫,AJ
thred,᛫ to deliberate ᛫,V
threding,᛫ deliberation ᛫,N
threeawn,᛫ an Aristida plant ᛫,N
threedealed,᛫ having three parts ᛫ tripartite ᛫,AJ
threefold,᛫ triple ᛫ having three parts ᛭ triply ᛫,AJ᛭AV
threehead,᛫ the triceps ᛫,N
threehirn,᛫ a triangle ᛫,N
threehirned,᛫ triangular ᛫,AJ
threeling,᛫ a triplet ᛫,N
threeness,᛫ trinity ᛫ trinality ᛫ triplicity ᛫ triformity ᛫,N
threep,᛫ an altercation ᛫ a quarrel ᛫ an argument ᛫ contention ᛭ to quarrel ᛫ to argue ᛫ to contend ᛫,N᛭V
threesheet,᛫ triangular ᛫ three-cornered ᛫,AJ
threeside,᛫ a triangle ᛫,N
threesided,᛫ triangular ᛫,AJ
threesome,᛫ a trio ᛫ a triad ᛫ a ménage à trois ᛫,N
threewheeler,᛫ any three-wheeled vehicle ᛫ a tricyle ᛫ a tuk-tuk ᛫ a rickshaw ᛫ an auto-rickshaw ᛫,N
thresh,᛫ to move violently ᛫ to thrash ᛫,V
threshold,᛫ the bottom of a doorway ᛫ a limit before something happens ᛫,N
threst,᛫ to press ᛫ to press together ᛫ to apply downward pressure ᛫ to pressure [ᚹ] ᛫,V
thriddendeal,᛫ a unit of liquid measure ; often equivalent to one-third of a gallon ᛫,N
thrift,᛫ prudence of money or resources ᛫,N
thrifty,᛫ prudent with money or resources ᛫,AJ
thril,᛫ a hole ᛫ an opening ᛫ an aperture ᛫,N
thrilap,᛫ a trilobite ᛫,N
thrileaf,᛫ a trefoil ᛫,N
thrill,᛫ a trembling from emotion ᛫ a cause of sudden excitement ᛭ to suddenly excite ᛫,N᛭V
thrilly,᛫ exciting ᛫ producing a thrill ᛫,AJ
Thrimilk,᛫ May ᛫,N(P)
thrin,᛫ a triplet ᛫,N
thriness,᛫ a trinity ᛫ the Holy Trinity ᛫,N
thring,᛫ to press ᛫ to push ᛫ to crowd ᛫,V
thringing,᛫ urgent ᛫ pressing ᛫ pressure ᛫,AJ
thrinter,᛫ a three-year-old animal ᛫ something three years old [ᚹ] ᛫,N
thrist,᛫ courageous ᛫ audacious ᛫ presumptuous ᛫ bold ᛫ rash ᛫,AJ
thristledge,᛫ to become presumptuous ᛫ to presume ᛫,V
thrithe,᛫ forces ( as in armies ) ᛫,N
thritheful,᛫ mighty ᛫ powerful ᛫ strong ᛫,AJ
thritongued,᛫ trilingual ᛫,AJ
thrive,᛫ to flourish ᛫ to prosper ᛫ to grow ᛫ to be successful over a relatively long period ᛫,V
throatball,᛫ an Adam's apple ᛫,N
throattongue,᛫ a uvula ᛫,N
throatwort,᛫ a Campanula trachelium plant ᛫,N
throe,᛫ a pang ᛫ a spasm ᛭ to suffer ᛫ to pain ᛫ to suffer martyrdom ᛫,N᛭V
Throeingtide,᛫ Passiontide ᛫,N
throenly,᛫ passive ( grammatical term ) ᛫,AJ
throer,᛫ a sufferer ᛫ a martyr ᛫,N
throng,᛫ a crowd ᛫,N
throngfear,᛫ agoraphobia ᛫,N
throsomy,᛫ smoky ᛫ vaporous ᛫,AJ
throssom,᛫ smoke ᛫ vapor ᛫,N
throstle,᛫ a Turdus philomelos bird ᛫,N
throttle,᛫ a throat ᛫ a larynx ᛫ a throttle-valve ᛫ a throttle-control ᛭ to choke ᛫ to strangle [ᛏ] ᛫,N᛭V
through,᛫ a coffin ᛫ a sarcophagus ᛫ a sarcophagus slab ᛫ a mausoleum ᛫,N
through,᛫ via ᛫,P
throughbore,᛫ to bore through ᛫ to perforate ᛫ to transfix ᛫,V
throughbraid,᛫ to transport ᛫,V
throughfasten,᛫ to transfix ᛫,V
throughgo,᛫ to go through ᛫ to pass through ᛫,V
throughseek,᛫ to scour ᛫ to examine thoroughly ᛫ to scrutinize ᛫ to ponder ᛫ to reflect on oneself ᛫,V
throughshine,᛫ transparent ᛫,AJ
throughsmow,᛫ to creep through ᛫ to pour over ᛫,V
throughstand,᛫ to persist ᛫,V
throughtee,᛫ to carry through ᛫ to achieve ᛫ to accomplish ᛫,V
throughwon,᛫ to continue [ᚾ] ᛫ to continue [ᛏ] ᛫ to remain ᛫ to endure ᛫,V
throw,᛫ an occasion ᛫ a circumstance ᛫ a relatively short period of time ᛫ an instant ᛫ a moment ᛫,N
throwend,᛫ a scorpion ᛫,N
Throwend,᛫ one of the Tronds ( a Norse people-group ) ? ᛫,N(P)
Throwend,᛫ Scorpio ᛫,PN
throwing star,᛫ a shuriken ᛫ a ninja star ᛫,N
thrum,᛫ a company of men ᛫ a host of men ᛫ a troop of men ᛫ grandeur ᛫ splendor ᛫ glory ᛫,N
thrumfast,᛫ glorious ᛫ majestic ᛫ illustrious ᛫ mighty ᛫,AJ
thrumfull,᛫ glorious ᛫ majestic ᛫ illustrious ᛫ mighty ᛫,AJ
thrumly,᛫ magnificent ᛫ splendid ᛫ glorious ᛭ magnificently ᛫ splendidly ᛫ gloriously ᛫,AJ᛭AV
thrumsettle,᛫ a throne ᛫,N
thrush,᛫ a Turdidae bird ᛫,N
thrutch,᛫ to push ᛫ to squeeze out ᛫ to pressure ᛫ to force ᛫ to press forward ᛫ to print [ᚹ] ᛫,V
Thunder,᛫ ( an English god equivalent to Thor and equated with Jupiter ) ᛫ the planet Jupiter [ᚹ] ᛫,N(P)
Thunderday,᛫ Thursday ᛫,N(P)
thunderfear,᛫ astraphobia ᛫,N
Thunderly,᛫ Jovian ᛫,AJ
thunderstone,᛫ a long tapering stone ; fossil ; or similar object ; formerly thought to be a thunderbolt ᛫,N
thung,᛫ any of several poisonous plants ᛫,N
thungen,᛫ grown ᛫ thriven ᛫ advanced ᛫ mature ᛫,AJ
thunwang,᛫ a temple ( anatomy ) ᛫,N
thunwangbone,᛫ a temporal bone ᛫,N
Thuring,᛫ one of the Thuringii ᛫,N(P)
Thuringland,᛫ Thuringia ᛫,N(P)
thurrock,᛫ a hold ( of a ship ) ᛫ a bilge ( of a ship ) ᛫,N
thurse,᛫ a kind of giant-like creature from Germanic mythology ᛫ a giant ᛫ a cyclops ᛫ an ogre ᛫,N
Thursnight,᛫ the night following Thursday's dusk ᛫,N(P)
thus,᛫ in the manner now being indicated ᛫ accordingly ᛫ consequently ᛫,AV
thwack,᛫ a sharp blow ᛭ to strike forcefully with a sharp blow ᛫,N᛭V
thwarst,᛫ across ᛫ thwart ᛫ athwart ᛫ transversely ᛫,AV&amp;P
thwart,᛫ to be across ᛫ to prevent an accomplishment ᛭ crosswise ᛫ transverse ᛫ counter ᛫ contrary ᛫ across ᛭across ᛫,V᛭AJ᛭AV᛭P
thwartnick,᛫ an absolute denial ( law ) ᛫ a flat-out traverse of a plaintiff's charge ᛫ the privilege of so pleading ᛫,V
thwartoverness,᛫ contrariness ᛫,N
thwartsome,᛫ adversative ᛫,AJ
thway,᛫ to wash ᛫,V
thweal,᛫ a towel ᛫,N
thwean,᛫ to soften with moisture ᛫,V
thwear,᛫ to agree ᛫ to make accordant ᛫ to become in accord ᛫ to make harmonious ᛭ agreeable ᛫ harmonious ᛫compatible [ᚹ] ᛫,V᛭AJ
thwearhue,᛫ a complementary colour ᛫,N
thwearledge,᛫ to become in harmony with ᛫ to become compatible [ᚹ] ᛫,V
thwearness,᛫ agreement ᛫ harmony ᛫ peace ᛫ consonnance [ᚹ] ᛫,N
thwire,᛫ to oppose ᛭ obstinate ᛫ perverse ᛫ crooked ᛫ cross ᛫,V᛭AJ
thwirely,᛫ reversed ᛫ contrary ᛫ opposite ᛫ adverse ᛫ perverse ᛭ awry ᛫ askew ᛫ obstinately ᛫ flatly ( of refusal ) ᛫perversely ᛫,AJ᛭AV
thwireness,᛫ crookedness ᛫ opposition ᛫ perversity ᛫,N
thwoast,᛫ to murmur ᛫,V
thy,᛫ your ᛫,N(PRO)
thyself,᛫ yourself ᛫,N(PRO)
tid,᛫ tender ᛫ soft ᛫ nice ᛫,AJ
tidbit,᛫ a small piece of tasty food ᛫ a small and interesting item of information or gossip ᛫,N
tidder,᛫ to treat with tenderness to fondle ᛭ frail ᛫,V᛭AJ
tidderness,᛫ frailty ᛫,N
tide,᛫ a time ᛫ a period ᛫ a tense ( grammatical term ) ᛭ to happen ᛫ to befall ᛫ to betide ᛫,N᛭V
tideghost,᛫ a zeitgeist ᛫ an ethos of an age ᛫,N
tidely,᛫ temporal ᛫ chronological ᛫ temporary ᛫,AJ
tider,᛫ to have offspring ᛫ to beget offspring ᛫ to multiply ᛫,V
tideword,᛫ a verb ᛫,N
tidewrit,᛫ a magazine ᛫,N
tidewriter,᛫ a chronicler ᛫ an annalist ᛫,N
tidings,᛫ news ᛫,N
tidy,᛫ neat ᛫ timely ᛫ seasonable ᛫ opportune ᛫ orderly ᛫ ordered ᛫,AJ
tie,᛫ a link ᛫ a connection ᛭ to link ᛫ to connect ᛫,N᛭V
tield,᛫ a tent ᛫ a canopy or an awning over a boat ᛭ to pitch a tent ᛫ to set a trap ᛫ to erect something ᛫,N᛭V
tigercat,᛫ any variegated wildcat ᛫ a serval ᛫ an ocelot ᛫ an oncilla ᛫ a margay ᛫ a quoll ᛫,N
tigerwolf,᛫ a Crocuta crocuta animal ( a spotted hyena ; a laughing hyena ) ᛫ a Thylacinus cynocephalus animal ( atasmanian tiger ; a tasmanian wolf ; a thylacine ) ᛫,N
tight,᛫ a practice ᛫ a way of conduct ᛫,N
tight,᛫ to drag something ᛫ to hoist ᛫ to advance to somewhere ᛫ to entice ᛫ to incite ᛫ to instruct ᛫ to trainsomeone ᛫ to discipline someone ᛫,V
tights,᛫ pantyhose ᛫,N
tile,᛫ a brick ᛫ a tile ᛫,N
tilestone,᛫ a tile of stone ᛫,N
tilewright,᛫ a brickmaker ᛫ a potter ? ᛫,N
till,᛫ to prepare and cultivate land for crops ᛫,V
till,᛫ apt ᛫ suitable ᛫ adequate ᛫ appropriate ᛫,AJ
till,᛫ a fixed point ᛫ station ᛫,N
tillman,᛫ a husbandman ᛫ a farmer ᛫,N
tillmoody,᛫ noble-minded ᛫,AJ
tilt,᛫ incline ᛫ bias ᛫ a jousting contest ᛭ to cause to have an inclination [ᛏ] ᛫ to charge against [ᚾ] ᛫ tojoust [ᚾ] ᛫,N᛭V
tilt,᛫ a canopy for a wagon ; boat ; or stall ᛭ to provide with a tilt ᛫,N
tilth,᛫ agriculture ᛫ cultivation ᛫ tillage ᛫ prepared surface soil ᛫ culture [ᚹ] ᛫,N
timber,᛫ wood for construction ᛭ to construct ᛫,N᛭V
timeframe,᛫ a period of time ᛫,N
timekeeper,᛫ a timepiece ( such as a clock or a watch ) ᛫,N
timelore,᛫ chronology ᛫,N
timely,᛫ at a favourable time ᛫ opportune ᛫ seasonable ᛫ temporal ᛫ temporary ᛫ transient ᛫ ,AJ
timesare,᛫ a time machine ᛫,N
timetoken,᛫ a time signature ᛫,N
timewise,᛫ temporal ᛫ chronological ᛫,AJ
timpan,᛫ a drum ᛫,N
tind,᛫ to set on fire ᛫ to kindle ᛫ to ignite ᛫,V
tinderbox,᛫ a potentially dangerous place or situation ᛫ a crisis ᛫,N
tine,᛫ a point ᛫ a spike ᛫,N
tine,᛫ to enclose ᛫,V
tinglass,᛫ bismuth ( element ) ᛫,N
tinmouth,᛫ a Pomoxys annularis fish ( a crappie ) ᛫,N
tinstone,᛫ cassiterite ᛫ native tin dioxide ᛫,N
